Date,Country,City,Specie,count,min,max,median,variance
27-02-2019,IN,Kolkata,o3,95,2.9,16.2,10.4,108.34
28-02-2019,IN,Kolkata,o3,96,1.1,16.9,10.1,161.86
01-03-2019,IN,Kolkata,o3,96,1.1,37.7,9,1332.26
02-03-2019,IN,Kolkata,o3,96,1.3,48.4,8.2,1862.91
03-03-2019,IN,Kolkata,o3,96,1.1,49.7,5.5,2111.44
04-03-2019,IN,Kolkata,o3,95,1.8,22.1,9.2,235.84
05-03-2019,IN,Kolkata,o3,96,1.5,27.5,9.1,404.22
06-03-2019,IN,Kolkata,o3,95,1.2,46,8.3,1064.49
07-03-2019,IN,Kolkata,o3,96,1.1,43.3,10.4,1433.93
08-03-2019,IN,Kolkata,o3,84,1,45.3,5.6,1350.93
09-03-2019,IN,Kolkata,o3,72,1.1,40.2,8.8,1065.4
10-03-2019,IN,Kolkata,o3,95,1.3,17.9,7.4,116.32
11-03-2019,IN,Kolkata,o3,96,0.9,29.6,4.5,669.97
12-03-2019,IN,Kolkata,o3,96,1.3,36.1,9.5,1071.53
13-03-2019,IN,Kolkata,o3,96,2.6,34.8,7.5,875.71
14-03-2019,IN,Kolkata,o3,96,3.4,54.9,12.3,2234.11
15-03-2019,IN,Kolkata,o3,94,1.8,38.9,11.9,946.91
16-03-2019,IN,Kolkata,o3,81,1.5,37.3,12.5,854.33
17-03-2019,IN,Kolkata,o3,96,1.2,43.7,17.2,1055.21
18-03-2019,IN,Kolkata,o3,96,1.9,33,9.8,649.09
19-03-2019,IN,Kolkata,o3,96,6,40.2,12.5,947.7
20-03-2019,IN,Kolkata,o3,96,1.3,31.2,8.5,819.3
21-03-2019,IN,Kolkata,o3,96,4.3,43.4,14.1,1205.28
22-03-2019,IN,Kolkata,o3,90,5,34.9,9.6,644.7
23-03-2019,IN,Kolkata,o3,72,1.1,44.1,6.5,1797.59
24-03-2019,IN,Kolkata,o3,72,1.4,43.7,10,1717.01
25-03-2019,IN,Kolkata,o3,71,1.2,52.7,8.2,1820.27
26-03-2019,IN,Kolkata,o3,72,1.4,39.2,13.1,595.79
