Date,Country,City,Specie,count,min,max,median,variance
23-05-2019,IN,Kolkata,dew,88,23,27.5,26.5,28.36
01-06-2019,IN,Kolkata,dew,74,25,28,27,9.2
07-06-2019,IN,Kolkata,dew,90,25,28,26,7.48
21-06-2019,IN,Kolkata,dew,82,26,28,27,3.51
29-06-2019,IN,Kolkata,dew,93,24,28,26,17.58
07-05-2019,IN,Kolkata,dew,96,24,28.5,26,16.59
28-04-2019,IN,Kolkata,dew,78,27,30,28,9.06
14-05-2019,IN,Kolkata,dew,94,21,28,24,58.77
15-06-2019,IN,Kolkata,dew,91,25,29,27.5,10.06
24-04-2019,IN,Kolkata,dew,90,22,26,24,14.86
04-05-2019,IN,Kolkata,dew,66,23,25,24,4.93
13-05-2019,IN,Kolkata,dew,82,21,28,27.5,46.07
03-06-2019,IN,Kolkata,dew,82,23,26,24.5,9.81
26-04-2019,IN,Kolkata,dew,76,23,27,26,13.56
29-04-2019,IN,Kolkata,dew,82,26,29.5,27,9.26
20-05-2019,IN,Kolkata,dew,92,25.5,28.5,27.5,4.28
21-05-2019,IN,Kolkata,dew,84,27,28,28,1.8
22-05-2019,IN,Kolkata,dew,84,26,29,28,6.64
29-05-2019,IN,Kolkata,dew,60,26.5,29,27.5,4.39
16-04-2019,IN,Kolkata,dew,96,22,30,27,47.93
07-04-2019,IN,Kolkata,dew,88,18.6,23,21,18.14
02-05-2019,IN,Kolkata,dew,60,25,27,26.5,4.02
18-05-2019,IN,Kolkata,dew,84,27.5,30,28.5,5.42
28-05-2019,IN,Kolkata,dew,60,24,28,27,15.18
30-05-2019,IN,Kolkata,dew,62,26,28.5,27.5,5.71
04-06-2019,IN,Kolkata,dew,90,24,28,26.5,13.55
11-06-2019,IN,Kolkata,dew,78,27,28.5,27.5,2.52
04-04-2019,IN,Kolkata,dew,86,24,26,25,3.24
30-04-2019,IN,Kolkata,dew,76,24,26.5,25,5.8
25-05-2019,IN,Kolkata,dew,92,21,28,24.5,67.73
09-06-2019,IN,Kolkata,dew,92,26,29,27,7.43
12-06-2019,IN,Kolkata,dew,90,22,30,27.5,33.7
16-06-2019,IN,Kolkata,dew,90,26,28,27,4.56
23-06-2019,IN,Kolkata,dew,80,26,28,27,3.54
13-04-2019,IN,Kolkata,dew,88,20,28,25,68.08
01-05-2019,IN,Kolkata,dew,68,25,28,26,5.05
06-05-2019,IN,Kolkata,dew,94,17.5,28,27,96.22
09-05-2019,IN,Kolkata,dew,84,27,30,28,8.58
06-06-2019,IN,Kolkata,dew,74,24,27,26,9.72
10-06-2019,IN,Kolkata,dew,86,27,29,28,2.47
30-06-2019,IN,Kolkata,dew,90,24.5,27,27,8.35
11-04-2019,IN,Kolkata,dew,72,25,27,26,3.44
11-05-2019,IN,Kolkata,dew,68,27,29.3,28,4.07
17-06-2019,IN,Kolkata,dew,84,26,29,27,9.98
12-04-2019,IN,Kolkata,dew,86,25,28,26,9.87
15-05-2019,IN,Kolkata,dew,92,21,29,26.5,55.05
02-06-2019,IN,Kolkata,dew,86,22,28,27,35.45
13-06-2019,IN,Kolkata,dew,88,22.5,29,26,38.16
06-04-2019,IN,Kolkata,dew,92,18.5,25,20,33.17
16-05-2019,IN,Kolkata,dew,84,24,28,26,18.27
19-05-2019,IN,Kolkata,dew,80,22,30,28,41.8
22-06-2019,IN,Kolkata,dew,90,26,28,26.5,4.66
21-04-2019,IN,Kolkata,dew,88,19,25,23,36.02
21-07-2019,IN,Kolkata,dew,99,25,28,26,7.49
31-08-2019,IN,Kolkata,dew,96,26,29,27,12.46
01-09-2019,IN,Kolkata,dew,104,24,28,27,17.92
03-07-2019,IN,Kolkata,dew,108,25,28,27,7.68
27-09-2019,IN,Kolkata,dew,105,23,27.5,25.5,19.36
06-07-2019,IN,Kolkata,dew,105,25.5,29,27,9.31
19-07-2019,IN,Kolkata,dew,90,24,27.5,26,8.78
30-07-2019,IN,Kolkata,dew,87,25,29,26.5,13.42
05-08-2019,IN,Kolkata,dew,105,26.5,29,27,5.84
06-08-2019,IN,Kolkata,dew,117,25,28,27,9.19
10-08-2019,IN,Kolkata,dew,108,26,29,27.5,9.3
16-08-2019,IN,Kolkata,dew,78,24,29,27,37.45
15-09-2019,IN,Kolkata,dew,105,26,28,27,3.21
16-09-2019,IN,Kolkata,dew,105,26,29,27,8.31
23-09-2019,IN,Kolkata,dew,84,26,28,27,4.19
04-08-2019,IN,Kolkata,dew,90,26,28,27,4.53
19-08-2019,IN,Kolkata,dew,111,24,28.5,26,14.03
24-08-2019,IN,Kolkata,dew,87,25,27.6,26,5.17
22-09-2019,IN,Kolkata,dew,87,25,28,26.5,6.95
28-09-2019,IN,Kolkata,dew,105,23,27,24,16.59
17-07-2019,IN,Kolkata,dew,84,25,29,26,9.01
22-08-2019,IN,Kolkata,dew,90,24,28.5,27,21.44
30-08-2019,IN,Kolkata,dew,120,25,28,27,8.33
04-09-2019,IN,Kolkata,dew,117,25,29,27,16.86
06-09-2019,IN,Kolkata,dew,90,26,28,26.5,6.19
07-09-2019,IN,Kolkata,dew,117,26,27,26.5,2.17
02-07-2019,IN,Kolkata,dew,100,25,29,26,10.94
